modality,person,subtask
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P7,clear sentence
Touch,P7,scroll
Touch,P8,search
Touch,P8,open document
Speech,P7,deselect document
Touch,P7,open document
Touch,P7,open document
Touch,P8,close document
Touch,P7,open document
Touch,P8,close document
Touch,P8,close document
Touch,P8,open document
Touch,P8,close document
Touch,P8,open document
Touch,P8,open document
Touch,P8,scroll
Touch,P7,move document
Touch,P7,open document
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P7,clear sentence
Touch,P8,open document
Speech,P7,deselect document
Speech,P7,sort
Touch,P8,close document
Touch,P8,open document
Touch,P8,close document
Speech,P7,search
Touch,P8,clear search
Touch,P7,search
Touch,P7,clear search
Touch,P7,search
Touch,P7,close document
Touch,P7,close document
Touch,P7,close document
Touch,P7,open document
Touch,P7,close document
Touch,P7,close document
Touch,P7,move document
Touch,P8,search
Touch,P8,search
Touch,P7,open document
Touch,P8,search
Touch,P7,open document
Touch,P7,close document
Touch,P7,open document
Touch,P8,move document
Touch,P8,scroll
Touch,P7,open document
Touch,P7,close document
Touch,P7,move document
Touch,P7,open document
Touch,P7,mark sentence
Touch,P7,move document
Touch,P7,move document
Speech,P10,add tag
Speech,P9,close document
Speech,P10,open document
Touch,P9,close document
Speech,P10,sort
Touch,P10,open document
Touch,P9,move document
Touch,P9,close document
Touch,P10,open document
Touch,P9,move document
Touch,P9,open document
Touch,P9,scroll
Touch,P9,scroll
Touch,P9,scroll
Speech,P10,open document
Touch,P9,scroll
Speech,P10,close document
Touch,P10,open document
Touch,P10,close document
Touch,P9,scroll
Touch,P10,open document
Touch,P10,mark sentence
Touch,P10,clear sentence
Touch,P10,mark sentence
Touch,P10,clear sentence
Touch,P10,close document
Speech,P10,search
Touch,P10,open document
Touch,P9,close document
Touch,P10,move document
Touch,P10,close document
Touch,P10,open document
Touch,P10,mark sentence
Touch,P10,mark sentence
Touch,P10,mark sentence
Touch,P10,mark sentence
Touch,P10,clear sentence
Touch,P10,mark sentence
Touch,P9,close document
Touch,P9,open document
Touch,P9,scroll
Touch,P9,scroll
Touch,P9,scroll
Speech,P10,add tag
Touch,P9,mark sentence
Touch,P9,clear sentence
Touch,P9,scroll
Touch,P9,move document
Touch,P9,move document
Speech,P10,select document
Touch,P10,assign tag
Speech,P10,assign tag
Touch,P10,scroll
Touch,P9,open document
Touch,P10,open document
Touch,P9,scroll
Touch,P9,move document
Touch,P9,scroll
Speech,P10,select document
Touch,P9,move document
Touch,P9,mark sentence
